"geolev2","d_1960_km","d_1986_km","c_local_60","leg_1960","leg_1986","delta_d_km","leg_1986_fixc","delta_leg","median_tau","land_share_pair_60","land_share_oneend_60"
"32018010",11.4525302734375,6.21100634765625,187.672058105469,1679107.37164661,910935.877465032,-5.24152392578125,910623.79183419,-768483.579812422,4524362.65833721,0.574389882608495,0.371125724979729
"32018011",14.486431640625,9.4603232421875,185.772064208984,2123921.40215904,1387496.223857,-5.0261083984375,1387020.86917505,-736900.532983989,5327740.30757586,0.571266989568759,0.398653327591605
"32018012",33.74583203125,21.080853515625,187.11051940918,4947629.3860966,3091818.73597893,-12.664978515625,3090759.48227674,-1856869.90381986,8416066.91586415,0.697151081295568,0.587879045587244
"32018013",6.21100634765625,6.21100634765625,194.896240234375,910623.79183419,910935.877465032,0,910623.79183419,0,3556958.84545548,0.514558822834447,0.256011899883981
"32018014",5.27021337890625,3.72660375976562,184.392562866211,772689.870569184,546561.519317653,-1.54360961914063,546374.267941602,-226315.602627583,3464298.65129689,0.488505987926187,0.223043665787856
"32018015",9.0433623046875,1.24220129394531,190.968719482422,1325888.33626494,182187.17907369,-7.80116101074219,182124.761946294,-1143763.57431864,4417294.63370267,0.508349405467808,0.300158455845077
"32018016",37.36941015625,37.36941015625,189.196533203125,5478898.59876454,5480776.30670589,0,5478898.59876454,0,10043245.8168851,0.637098750740626,0.545530667939364
"32022001",27.2436015625,12.234263671875,198.221694946289,3994307.90590405,1794335.58577564,-15.009337890625,1793720.84837526,-2200587.05752879,7899839.7755867,0.622031434820216,0.505618850428825
"32022002",0,0,1.87399995326996,0,0,0,0,0,2795450.87976821,0.328977615457228,0
"32022003",6.21100634765625,6.3340087890625,199.332778930664,910623.79183419,928976.003431901,0.12300244140625,928657.737273723,18033.9454395324,3955786.43529339,0.462680325727039,0.230200443509699
"32022004",89.9374296875,89.9374296875,205.195220947266,13186134.2052495,13190653.3085815,0,13186134.2052495,0,20593874.8445028,0.684950019183437,0.640293985702713
"32022005",7.2432158203125,6.21100634765625,191.125274658203,1061960.70107952,910935.877465032,-1.03220947265625,910623.79183419,-151336.909245327,4086855.02029127,0.484871975099387,0.259847901578811
"32022006",17.2572109375,15.0095751953125,188.059036254883,2530157.91334987,2201376.03885703,-2.2476357421875,2200621.8498446,-329536.063505262,5865074.83181299,0.588193463311266,0.431393969540838
"32022007",2.777646484375,2.777646484375,197.765716552734,407243.340675533,407382.909612805,0,407243.340675533,0,3070133.34711466,0.432191033811775,0.132646792380619
"32022008",12.668017578125,12.668017578125,189.805236816406,1857315.47454745,1857952.0068638,0,1857315.47454745,0,5042835.54524801,0.550673567318331,0.368307762147358
"32022009",4.4788203125,4.4788203125,181.919845581055,656660.146137476,656885.194283366,0,656660.146137476,0,3423601.89659437,0.460421789186253,0.191803885489925
"32022010",42.23484375,41.7571796875,199.326202392578,6192241.87037945,6124307.55821908,-0.477664062500004,6122209.37717795,-70032.4932014942,11109308.7657646,0.640173280343957,0.557392183522884
"32022011",21.226744140625,2.48440258789062,190.680252075195,3112149.16805297,364374.358147379,-18.7423415527344,364249.523892589,-2747899.64416038,6706007.16443521,0.601220641992334,0.464083782158483
"32022012",3.72660375976562,3.72660375976562,186.97265625,546374.267941602,546561.519317653,0,546374.267941602,0,3153652.87014505,0.464862523828797,0.173251239257817
"32022013",15.8106416015625,15.8106416015625,191.087066650391,2318069.82647493,2318864.26682518,0,2318069.82647493,0,5413226.00351123,0.59811110582281,0.428223359780535
"32022014",17.7856171875,7.85637109375,203.729949951172,2607629.94864821,1152252.93541628,-9.92924609375,1151858.1748265,-1455771.77382171,6157498.07387002,0.57284154552488,0.423488552877339
"32022015",2.48440258789062,2.48440258789062,194.211135864258,364249.523892589,364374.358147379,0,364249.523892589,0,3259521.17147473,0.393889231241185,0.111749396531083
"32026001",6.21100634765625,2.777646484375,124.048408508301,910623.79183419,407382.909612805,-3.43335986328125,407243.340675533,-503380.451158658,7601360.8431259,0.24078116986688,0.119797469246272
"32026002",4.96880517578125,4.96880517578125,121.764701843262,728499.047785178,728748.716294758,0,728499.047785178,0,5076729.72374788,0.324645963449557,0.143497701754224
"32026003",13.888232421875,13.888232421875,123.165550231934,2036216.70337766,2036914.54806402,0,2036216.70337766,0,6133043.45219963,0.481956061614319,0.332007545560006
"32026004",0,0,1.77699995040894,0,0,0,0,0,5705499.5258393,0.161184969061701,0
"32026005",76.6650625,8.783689453125,114.0166015625,11240212.2952747,1288257.87827155,-67.881373046875,1287816.52253777,-9952395.77273697,20560429.6277501,0.591420183332001,0.546691508824503
"32026006",13.7205615234375,9.9376103515625,110.245178222656,2011633.71299431,1457497.43258952,-3.782951171875,1456998.09557036,-554635.617423952,6549004.08731271,0.447590876180239,0.30716635478842
"32030001",10.6133720703125,7.45320751953125,171.009399414062,1556074.58402649,1093123.03863531,-3.16016455078125,1092748.5358832,-463326.048143283,3984638.01562165,0.621314994956751,0.390518430513875
"32030002",34.1096796875,6.21100634765625,174.174865722656,5000974.74010825,910935.877465032,-27.8986733398437,910623.79183419,-4090350.94827406,8372692.75323328,0.70713397459567,0.597295862573845
"32030003",25.84853515625,16.573033203125,168.120697021484,3789770.89698613,2430680.26308534,-9.275501953125,2429847.51469761,-1359923.38228852,6735371.81650539,0.699205892390294,0.562666917318372
"32030004",0,0,1.77699995040894,0,0,0,0,0,2572117.90633887,0.357542227083581,0
"32030005",14.9064150390625,4.4788203125,177.474792480469,2185497.07176641,656885.194283366,-10.4275947265625,656660.146137476,-1528836.92562893,5308736.99190987,0.584910844340635,0.411679289272937
"32030006",15.11203125,4.96880517578125,174.886642456055,2215643.39640141,728748.716294758,-10.1432260742187,728499.047785178,-1487144.34861623,5347309.40033084,0.58632929689114,0.414347334430344
"32030007",22.3941015625,12.234263671875,163.840438842773,3283300.73068738,1794335.58577564,-10.159837890625,1793720.84837526,-1489579.88231212,6386721.53626761,0.658074956200068,0.514082336617127
"32030008",3.51347583007813,3.51347583007813,167.147903442383,515126.61617402,515303.158469986,0,515126.61617402,0,2658351.53413695,0.539720711239111,0.193776710701754
"32030009",14.9064150390625,14.9064150390625,176.601287841797,2185497.07176641,2186246.07727061,0,2185497.07176641,0,4661211.89578945,0.666165346210775,0.468868852270072
